"BehaviorSpace results (NetLogo 6.2.2)"
"IdeoEpiChamberAvowal.nlogo"
"IncongruentPnnOyy"
"04/13/2022 10:10:44:427 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"16","0","PnnOyy","true","0","false","7","200","2156","0.6302895681299309","0.14285714285714285","0.5945945945945946","0.5857142857142857","0.7209302325581395","0.7272727272727273","0.8571428571428571","0.40540540540540543","0.4142857142857143","0.27906976744186046","0.2727272727272727"
"15","0","PnnOyy","true","0","false","6","200","2194","0.6340129221125159","0.35714285714285715","0.3142857142857143","0.6428571428571429","0.8888888888888888","1","0.6428571428571429","0.6857142857142857","0.35714285714285715","0.1111111111111111","0"
"18","0","PnnOyy","true","0","false","11","200","2178","0.6266959685809195","1","1","1","1","1","0","0","0","0","0"
"17","0","PnnOyy","true","0","false","11","200","2130","0.6329058437263738","0.4782608695652174","0.5135135135135135","0.6571428571428571","0.7209302325581395","0.9629629629629629","0.5217391304347826","0.4864864864864865","0.34285714285714286","0.27906976744186046","0.037037037037037035"
"14","0","PnnOyy","true","0","false","9","200","2179","0.6168469848512343","0.7931034482758621","0.5277777777777778","0.7142857142857143","0.5681818181818182","0.8095238095238095","0.20689655172413793","0.4722222222222222","0.2857142857142857","0.4318181818181818","0.19047619047619047"
"11","0","PnnOyy","true","0","false","7","200","2150","0.6171313979036647","0.7755102040816326","0.6458333333333334","0.6571428571428571","0.6875","1","0.22448979591836735","0.3541666666666667","0.34285714285714286","0.3125","0"
"8","0","PnnOyy","true","0","false","100","200","2127","0.6242328590583905","0.34285714285714286","0.21052631578947367","0.2571428571428571","0.2857142857142857","0.4666666666666667","0.6571428571428571","0.7894736842105263","0.7428571428571429","0.7142857142857143","0.5333333333333333"
"5","0","PnnOyy","true","0","false","100","200","2174","0.6227195395397449","0.15625","0.4634146341463415","0.4857142857142857","0.5128205128205128","0.4444444444444444","0.84375","0.5365853658536586","0.5142857142857142","0.48717948717948717","0.5555555555555556"
"19","0","PnnOyy","true","0","false","14","200","2174","0.6216989214478742","1","1","1","1","1","0","0","0","0","0"
"22","0","PnnOyy","true","0","false","9","200","2180","0.6161142871347596","0.24","0.2","0.42857142857142855","0.35","0.64","0.76","0.8","0.5714285714285714","0.65","0.36"
"25","0","PnnOyy","true","0","false","15","200","2156","0.6302984996639399","0.47058823529411764","0.7906976744186046","0.8","0.972972972972973","1","0.5294117647058824","0.20930232558139536","0.2","0.02702702702702703","0"
"26","0","PnnOyy","true","0","false","19","200","2174","0.6312325685156367","1","1","1","1","1","0","0","0","0","0"
"24","0","PnnOyy","true","0","false","6","200","2160","0.6374417818394297","0.06666666666666667","0.2653061224489796","0.37142857142857144","0.2903225806451613","0.8857142857142857","0.9333333333333333","0.7346938775510204","0.6285714285714286","0.7096774193548387","0.11428571428571428"
"31","0","PnnOyy","true","0","false","11","200","2148","0.6243451585706216","0","0.1590909090909091","0.21428571428571427","0.3888888888888889","0.4375","1","0.8409090909090909","0.7857142857142857","0.6111111111111112","0.5625"
"29","0","PnnOyy","true","0","false","16","200","2165","0.6194474289954036","1","1","1","1","1","0","0","0","0","0"
"32","0","PnnOyy","true","0","false","6","200","2145","0.618542151132003","0.5","0.6666666666666666","0.8","0.975609756097561","1","0.5","0.3333333333333333","0.2","0.024390243902439025","0"
"30","0","PnnOyy","true","0","false","17","200","2141","0.6311270614707007","0","0","0","0","0","1","1","1","1","1"
"27","0","PnnOyy","true","0","false","14","200","2163","0.6290385960345174","0.8979591836734694","0.9245283018867925","0.9714285714285714","1","1","0.10204081632653061","0.07547169811320754","0.02857142857142857","0","0"
"23","0","PnnOyy","true","0","false","15","200","2149","0.6334272391567698","0","0","0","0","0","1","1","1","1","1"
"36","0","PnnOyy","true","0","false","9","200","2161","0.6191659690688325","0.21621621621621623","0.17647058823529413","0.2714285714285714","0.2413793103448276","0","0.7837837837837838","0.8235294117647058","0.7285714285714285","0.7586206896551724","1"
