"BehaviorSpace results (NetLogo 6.1.1)"
"IdeoEpiChamber6.nlogo"
"IdeologyFilterUniformBias"
"01/05/2021 08:16:14:010 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","small-world?","num-seed-info","motivated-bias","layout?","motivated-start?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"59","false","4","0","false","false","2","200","2137","0.6352521108116944","0.4166666666666667","0.5","0.4714285714285714","0.5952380952380952","0.5384615384615384","0.5833333333333334","0.5","0.5285714285714286","0.40476190476190477","0.46153846153846156"
"61","false","4","0","false","false","2","200","2136","0.6321858510646112","0.14285714285714285","0.375","0.4142857142857143","0.35","0.5833333333333334","0.8571428571428571","0.625","0.5857142857142857","0.65","0.4166666666666667"
"60","false","4","0","false","false","2","200","2147","0.6351003286485707","0.2692307692307692","0.3023255813953488","0.4","0.35135135135135137","0.3333333333333333","0.7307692307692307","0.6976744186046512","0.6","0.6486486486486487","0.6666666666666666"
"63","false","4","0","false","false","2","200","2142","0.6334007012309947","0.5161290322580645","0.4864864864864865","0.35714285714285715","0.37209302325581395","0.5789473684210527","0.4838709677419355","0.5135135135135135","0.6428571428571429","0.627906976744186","0.42105263157894735"
"62","false","4","0","false","false","2","200","2134","0.637254256268988","0.35","0.4716981132075472","0.42857142857142855","0.4444444444444444","0.6","0.65","0.5283018867924528","0.5714285714285714","0.5555555555555556","0.4"
"64","false","4","0","false","false","2","200","2122","0.6319444138014735","0.6363636363636364","0.5555555555555556","0.5","0.45454545454545453","0.47058823529411764","0.36363636363636365","0.4444444444444444","0.5","0.5454545454545454","0.5294117647058824"
"65","false","4","0","false","false","2","200","2129","0.6326732615212437","0","0.20930232558139536","0.18571428571428572","0.16216216216216217","0.23076923076923078","1","0.7906976744186046","0.8142857142857143","0.8378378378378378","0.7692307692307693"
"67","false","4","0","false","false","2","200","2120","0.6339405828342958","0.8709677419354839","0.723404255319149","0.5571428571428572","0.5454545454545454","0.21052631578947367","0.12903225806451613","0.2765957446808511","0.44285714285714284","0.45454545454545453","0.7894736842105263"
"66","false","4","0","false","false","2","200","2135","0.6312504764240431","0.42424242424242425","0.5","0.5142857142857142","0.4411764705882353","0.5882352941176471","0.5757575757575758","0.5","0.4857142857142857","0.5588235294117647","0.4117647058823529"
"68","false","4","0","false","false","2","200","2144","0.6335058985484889","0.9310344827586207","0.9","0.8571428571428571","0.8","0.7619047619047619","0.06896551724137931","0.1","0.14285714285714285","0.2","0.23809523809523808"
"69","false","4","0","false","false","2","200","2140","0.632366748235598","0.375","0.18604651162790697","0.2571428571428571","0.43243243243243246","0.3333333333333333","0.625","0.813953488372093","0.7428571428571429","0.5675675675675675","0.6666666666666666"
"70","false","4","0","false","false","2","200","2134","0.6333768211920229","0.10344827586206896","0.027777777777777776","0.12857142857142856","0.13636363636363635","0.14285714285714285","0.896551724137931","0.9722222222222222","0.8714285714285714","0.8636363636363636","0.8571428571428571"
"71","false","4","0","false","false","2","200","2141","0.6339485142373212","0.4583333333333333","0.46153846153846156","0.5571428571428572","0.4878048780487805","0.5","0.5416666666666666","0.5384615384615384","0.44285714285714284","0.5121951219512195","0.5"
"72","false","4","0","false","false","2","200","2126","0.6352596329792863","0.07142857142857142","0.07692307692307693","0.18571428571428572","0.24390243902439024","0.3888888888888889","0.9285714285714286","0.9230769230769231","0.8142857142857143","0.7560975609756098","0.6111111111111112"
"73","false","4","0","false","false","2","200","2137","0.634986609457766","0.3076923076923077","0.1951219512195122","0.4142857142857143","0.3076923076923077","0.4166666666666667","0.6923076923076923","0.8048780487804879","0.5857142857142857","0.6923076923076923","0.5833333333333334"
