"BehaviorSpace results (NetLogo 6.2.0)"
"IdeoEpiChamber9StartTypes.nlogo"
"experiment"
"06/08/2021 05:53:55:578 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"24","0","PnOyyy","true","0","false","3","200","2162","0.6372078272994894","0.6470588235294118","0.625","0.7714285714285715","0.925","0.9696969696969697","0.35294117647058826","0.375","0.22857142857142856","0.075","0.030303030303030304"
"25","0","PnOyyy","true","0","false","2","200","2188","0.616803689777494","0.43478260869565216","0.65","0.7","0.9","1","0.5652173913043478","0.35","0.3","0.1","0"
"26","0","PnOyyy","true","0","false","3","200","2164","0.6072750200809719","0.5263157894736842","0.7692307692307693","0.8","0.9024390243902439","0.9032258064516129","0.47368421052631576","0.23076923076923078","0.2","0.0975609756097561","0.0967741935483871"
"27","0","PnOyyy","true","0","false","3","200","2165","0.6222555195225963","0.42857142857142855","0.631578947368421","0.6428571428571429","0.8333333333333334","0.813953488372093","0.5714285714285714","0.3684210526315789","0.35714285714285715","0.16666666666666666","0.18604651162790697"
"28","0","PnOyyy","true","0","false","3","200","2172","0.6293260965311657","0.5555555555555556","0.6176470588235294","0.7714285714285715","0.8478260869565217","0.9565217391304348","0.4444444444444444","0.38235294117647056","0.22857142857142856","0.15217391304347827","0.043478260869565216"
"29","0","PnOyyy","true","0","false","2","200","2176","0.621299513716107","0.5384615384615384","0.7857142857142857","0.9285714285714286","1","1","0.46153846153846156","0.21428571428571427","0.07142857142857142","0","0"
"30","0","PnOyyy","true","0","false","2","200","2169","0.6344714627993657","0.36","0.5116279069767442","0.6285714285714286","0.918918918918919","1","0.64","0.4883720930232558","0.37142857142857144","0.08108108108108109","0"
"31","0","PnOyyy","true","0","false","2","200","2145","0.6274335529791554","0.3181818181818182","0.5263157894736842","0.6714285714285714","0.8095238095238095","0.9642857142857143","0.6818181818181818","0.47368421052631576","0.32857142857142857","0.19047619047619047","0.03571428571428571"
"32","0","PnOyyy","true","0","false","3","200","2144","0.617451063123369","0.6944444444444444","0.4318181818181818","0.8285714285714286","0.8611111111111112","0.8571428571428571","0.3055555555555556","0.5681818181818182","0.17142857142857143","0.1388888888888889","0.14285714285714285"
"33","0","PnOyyy","true","0","false","2","200","2131","0.6310173704956036","0.6923076923076923","0.6956521739130435","0.8571428571428571","0.8823529411764706","0.9166666666666666","0.3076923076923077","0.30434782608695654","0.14285714285714285","0.11764705882352941","0.08333333333333333"
"34","0","PnOyyy","true","0","false","3","200","2158","0.6225842139241954","0.3333333333333333","0.32432432432432434","0.5571428571428572","0.7906976744186046","0.8857142857142857","0.6666666666666666","0.6756756756756757","0.44285714285714284","0.20930232558139536","0.11428571428571428"
"35","0","PnOyyy","true","0","false","2","200","2138","0.6216674884511108","0.46153846153846156","0.4166666666666667","0.6285714285714286","0.8409090909090909","1","0.5384615384615384","0.5833333333333334","0.37142857142857144","0.1590909090909091","0"
"36","0","PnOyyy","true","0","false","2","200","2169","0.6097956338847496","0.5","0.7297297297297297","0.7","0.9069767441860465","0.8928571428571429","0.5","0.2702702702702703","0.3","0.09302325581395349","0.10714285714285714"
"37","0","PnOyyy","true","0","false","2","200","2184","0.6234079860537755","0.6060606060606061","0.625","0.8285714285714286","0.775","0.8823529411764706","0.3939393939393939","0.375","0.17142857142857143","0.225","0.11764705882352941"
"38","0","PnOyyy","true","0","false","2","200","2146","0.606120356814619","0.59375","0.8205128205128205","0.7714285714285715","0.9024390243902439","0.9444444444444444","0.40625","0.1794871794871795","0.22857142857142856","0.0975609756097561","0.05555555555555555"
"39","0","PnOyyy","true","0","false","2","200","2159","0.6160827522552894","0.7037037037037037","0.6666666666666666","0.8428571428571429","0.9473684210526315","1","0.2962962962962963","0.3333333333333333","0.15714285714285714","0.05263157894736842","0"
"40","0","PnOyyy","true","0","false","2","200","2156","0.6325152691129761","0.13333333333333333","0.47058823529411764","0.7","0.8695652173913043","0.8285714285714286","0.8666666666666667","0.5294117647058824","0.3","0.13043478260869565","0.17142857142857143"
"41","0","PnOyyy","true","0","false","3","200","2151","0.6146289200553148","0.625","0.6857142857142857","0.7","0.7111111111111111","0.7619047619047619","0.375","0.3142857142857143","0.3","0.28888888888888886","0.23809523809523808"
"42","0","PnOyyy","true","0","false","3","200","2194","0.6328275387923873","0.42424242424242425","0.5869565217391305","0.7142857142857143","0.9411764705882353","0.8823529411764706","0.5757575757575758","0.41304347826086957","0.2857142857142857","0.058823529411764705","0.11764705882352941"
"43","0","PnOyyy","true","0","false","2","200","2160","0.603325244025212","0.35714285714285715","0.6470588235294118","0.8142857142857143","0.9565217391304348","0.9444444444444444","0.6428571428571429","0.35294117647058826","0.18571428571428572","0.043478260869565216","0.05555555555555555"
"44","0","PnOyyy","true","0","false","2","200","2170","0.6267433935548511","0.4666666666666667","0.5","0.6571428571428571","0.95","0.9428571428571428","0.5333333333333333","0.5","0.34285714285714286","0.05","0.05714285714285714"
"46","0","PnOyyy","true","0","false","2","200","2169","0.6233739212380965","0.6744186046511628","0.5416666666666666","0.7714285714285715","0.9375","1","0.32558139534883723","0.4583333333333333","0.22857142857142856","0.0625","0"
